"Index","Company","TypeName","Inches","ScreenType","Pixels_hor","Pixels_ver","Touchscreen","Cpu_brand","Cpu_name","Cpu_speed","Ram","Memory_type","Primary_Memory","Secondary_Memory","Gpu_brand","Gpu_name","OpSys","Weight","Price"
1,"Apple","Ultrabook",13.3,"IPS Panel Retina Display",2560,1600,0,"Intel"," Core i5 ",2.3,8,"SSD",128,0,"Intel","Iris Plus Graphics 640","MacOS",1.37,71379.0
2,"Apple","Ultrabook",13.3,"N/A",1440,900,0,"Intel"," Core i5 ",1.8,8,"Flash Storage",128,0,"Intel","HD Graphics 6000","MacOS",1.34,47896.0
3,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,8,"SSD",256,0,"Intel","HD Graphics 620","N/A",1.86,30636.0
4,"Apple","Ultrabook",15.4,"IPS Panel Retina Display",2880,1800,0,"Intel"," Core i7 ",2.7,16,"SSD",512,0,"AMD","Radeon Pro 455","MacOS",1.83,135195.0
5,"Apple","Ultrabook",13.3,"IPS Panel Retina Display",2560,1600,0,"Intel"," Core i5 ",3.1,8,"SSD",256,0,"Intel","Iris Plus Graphics 650","MacOS",1.37,96096.0
6,"Acer","Notebook",15.6,"N/A",1366,768,0,"AMD"," A9-Series 9420 ",3.0,4,"HDD",500,0,"AMD","Radeon R5","WindowsOS",2.1,21312.0
7,"Apple","Ultrabook",15.4,"IPS Panel Retina Display",2880,1800,0,"Intel"," Core i7 ",2.2,16,"Flash Storage",256,0,"Intel","Iris Pro Graphics","MacOS",2.04,114018.0
8,"Apple","Ultrabook",13.3,"N/A",1440,900,0,"Intel"," Core i5 ",1.8,8,"Flash Storage",256,0,"Intel","HD Graphics 6000","MacOS",1.34,61736.0
9,"Asus","Ultrabook",14.0,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,16,"SSD",512,0,"Nvidia","GeForce MX150","WindowsOS",1.3,79654.0
10,"Acer","Ultrabook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.6,41026.0
11,"HP","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i5 7200U ",2.5,4,"HDD",500,0,"Intel","HD Graphics 620","N/A",1.86,20987.0
12,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",500,0,"Intel","HD Graphics 520","N/A",1.86,18381.0
13,"Apple","Ultrabook",15.4,"IPS Panel Retina Display",2880,1800,0,"Intel"," Core i7 ",2.8,16,"SSD",256,0,"AMD","Radeon Pro 555","MacOS",1.83,130002.0
14,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"SSD",256,0,"AMD","Radeon R5 M430","WindowsOS",2.2,26581.0
15,"Apple","Ultrabook",12.0,"IPS Panel Retina Display",2304,1440,0,"Intel"," Core M m3 ",1.2,8,"SSD",256,0,"Intel","HD Graphics 615","MacOS",0.92,67261.0
16,"Apple","Ultrabook",13.3,"IPS Panel Retina Display",2560,1600,0,"Intel"," Core i5 ",2.3,8,"SSD",256,0,"Intel","Iris Plus Graphics 640","MacOS",1.37,80908.0
17,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"SSD",256,0,"AMD","Radeon R5 M430","WindowsOS",2.2,39694.0
18,"Apple","Ultrabook",15.4,"IPS Panel Retina Display",2880,1800,0,"Intel"," Core i7 ",2.9,16,"SSD",512,0,"AMD","Radeon Pro 560","MacOS",1.83,152274.0
19,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 7100U ",2.4,8,"HDD",1024,0,"Nvidia","GeForce 940MX","N/A",2.2,26587.0
20,"Dell","Ultrabook",13.3,"IPS Panel Full HD",1920,1080,1,"Intel"," Core i5 8250U ",1.6,8,"SSD",128,0,"Intel","UHD Graphics 620","WindowsOS",1.22,52161.0
22,"Lenovo","Gaming",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 7300HQ ",2.5,8,"Hybrid",128,1024,"Nvidia","GeForce GTX 1050","WindowsOS",2.5,53227.0
23,"HP","Notebook",15.6,"N/A",1366,768,0,"AMD"," E-Series E2-9000e ",1.5,4,"HDD",500,0,"AMD","Radeon R2","N/A",1.86,13746.0
24,"Dell","2 in 1 Convertible",13.3,"Full HD",1920,1080,1,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.62,43636.0
25,"HP","Ultrabook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.91,35112.0
26,"Dell","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",1024,0,"Intel","HD Graphics 520","WindowsOS",2.3,22305.0
27,"Apple","Ultrabook",13.3,"N/A",1440,900,0,"Intel"," Core i5 ",1.6,8,"Flash Storage",128,0,"Intel","HD Graphics 6000","MacOS",1.35,58555.0
28,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"AMD","Radeon 530","WindowsOS",2.2,42624.0
29,"Dell","Ultrabook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8650U ",1.9,8,"SSD",512,0,"Intel","UHD Graphics 620","WindowsOS",1.88,69157.0
30,"HP","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"HDD",1024,0,"Nvidia","GeForce 930MX","WindowsOS",2.5,47739.0
31,"Chuwi","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Atom x5-Z8300 ",1.4,4,"Flash Storage",64,0,"Intel","HD Graphics","WindowsOS",1.89,13053.0
32,"Asus","Notebook",14.0,"N/A",1366,768,0,"AMD"," E-Series E2-6110 ",1.5,2,"Flash Storage",32,0,"AMD","Radeon R2","WindowsOS",1.65,10603.0
33,"HP","Notebook",17.3,"Full HD",1920,1080,0,"AMD"," A6-Series 9220 ",2.5,4,"HDD",500,0,"AMD","Radeon 530","WindowsOS",2.71,23390.0
34,"Dell","Ultrabook",13.3,"Quad HD+",3200,1800,1,"Intel"," Core i7 8550U ",1.8,16,"SSD",512,0,"Intel","UHD Graphics 620","WindowsOS",1.2,99580.0
35,"Apple","Ultrabook",13.3,"N/A",1440,900,0,"Intel"," Core i5 ",1.6,8,"Flash Storage",256,0,"Intel","HD Graphics 6000","MacOS",1.35,53173.0
36,"Lenovo","Notebook",14.0,"N/A",1366,768,0,"Intel"," Celeron Dual Core N3350 ",1.1,4,"Flash Storage",64,0,"Intel","HD Graphics 500","WindowsOS",1.44,13267.0
37,"Acer","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i3 7130U ",2.7,4,"HDD",1024,0,"Intel","HD Graphics 620","LinuxOS",2.1,19554.0
38,"Dell","Notebook",17.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"Hybrid",128,1024,"AMD","Radeon 530","WindowsOS",2.8,52161.0
39,"HP","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i5 7200U ",2.5,4,"HDD",1024,0,"Intel","HD Graphics 620","WindowsOS",1.86,26037.0
40,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Nvidia","GeForce 930MX ","WindowsOS",2.1,46833.0
41,"Asus","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",1024,0,"Intel","HD Graphics 620","LinuxOS",2.0,20726.0
42,"Dell","Gaming",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"Hybrid",256,1024,"Nvidia","GeForce GTX 1060","WindowsOS",2.65,79867.0
43,"Asus","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i5 7200U ",2.5,8,"HDD",1024,0,"Nvidia","GeForce 940MX","LinuxOS",2.3,27865.0
44,"Acer","Notebook",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,4,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",2.2,36337.0
45,"Dell","2 in 1 Convertible",17.3,"Full HD",1920,1080,1,"Intel"," Core i5 8250U ",1.6,12,"HDD",1024,0,"Nvidia","GeForce 150MX","WindowsOS",2.77,53227.0
46,"Apple","Ultrabook",13.3,"IPS Panel Retina Display",2560,1600,0,"Intel"," Core i5 ",2.0,8,"SSD",256,0,"Intel","Iris Graphics 540","MacOS",1.37,75604.0
48,"Asus","Gaming",17.3,"Full HD",1920,1080,0,"AMD"," Ryzen 1700 ",3.0,8,"Hybrid",256,1024,"AMD","Radeon RX 580","WindowsOS",3.2,69211.0
49,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,4,"SSD",256,0,"AMD","Radeon R5 M430","WindowsOS",2.3,34046.0
50,"Asus","Notebook",17.3,"N/A",1366,768,0,"Intel"," Pentium Quad Core N4200 ",1.1,4,"HDD",1024,0,"Nvidia","GeForce 920MX","WindowsOS",2.8,24828.0
52,"Acer","Notebook",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Nvidia","GeForce MX150","WindowsOS",2.2,44808.0
53,"HP","Notebook",15.6,"Full HD",1920,1080,0,"AMD"," A6-Series 9220 ",2.5,4,"SSD",256,0,"AMD","Radeon R4 Graphics","WindowsOS",1.86,21232.0
54,"HP","Notebook",13.3,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",512,0,"Intel","UHD Graphics 620","WindowsOS",1.49,58768.0
55,"Acer","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i3 7100U ",2.4,4,"HDD",1024,0,"Intel","HD Graphics 620","WindowsOS",2.4,20460.0
56,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"AMD","Radeon 520","WindowsOS",2.13,40908.0
57,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"SSD",128,0,"Intel","HD Graphics 520","WindowsOS",1.91,23390.0
58,"Asus","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i5 7200U ",2.5,4,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",2.0,31232.0
59,"MSI","Gaming",17.3,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"Hybrid",256,2048,"Nvidia","GeForce GTX 1070","WindowsOS",2.43,130483.0
60,"Asus","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"SSD",256,0,"Intel","HD Graphics 520","LinuxOS",2.0,22111.0
61,"Dell","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,16,"Hybrid",256,2048,"AMD","Radeon 530","WindowsOS",2.8,69211.0
62,"Dell","Ultrabook",14.0,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.7,46833.0
63,"Lenovo","Notebook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i3 7130U ",2.7,8,"SSD",256,0,"Intel","HD Graphics 620","N/A",1.7,31915.0
64,"Asus","Notebook",14.0,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.4,50136.0
65,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.86,36763.0
66,"Asus","Ultrabook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"SSD",512,0,"Nvidia","GeForce GTX 1050 Ti","WindowsOS",1.8,105654.0
67,"HP","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",500,0,"AMD","Radeon 520","WindowsOS",1.86,23373.0
68,"HP","Notebook",14.0,"N/A",1366,768,0,"Intel"," Celeron Dual Core N3060 ",1.6,4,"SSD",32,0,"Intel","HD Graphics 400","WindowsOS",1.44,12201.0
69,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,4,"HDD",1024,0,"Intel","HD Graphics 620","WindowsOS",1.9,29251.0
70,"Asus","Gaming",17.3,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,12,"HDD",1024,0,"Nvidia","GeForce GTX 1050 Ti","LinuxOS",3.0,50563.0
71,"Microsoft","Ultrabook",13.5,"N/A",2256,1504,1,"Intel"," Core i5 7200U ",2.5,4,"SSD",128,0,"Intel","HD Graphics 620","WindowsOS",1.252,58022.0
72,"Dell","Ultrabook",13.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,64,"SSD",256,0,"AMD","Radeon 530","WindowsOS",1.4,50882.0
73,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"AMD","Radeon 530","WindowsOS",2.2,46354.0
74,"MSI","Gaming",17.3,"Full HD",1920,1080,0,"Intel"," Core i5 7300HQ ",2.5,8,"Hybrid",128,1024,"Nvidia","GeForce GTX 1050","WindowsOS",2.7,58342.0
